Participant,Condition,Hands,Language,Time,Duration,TrackName,comment
41,"Exposed, Dax To",Exposed,Dax To,25085,454882,Warm Up Duration,(null)
41,"Exposed, Dax To",Exposed,Dax To,25085,682849,Total Trial Length,(null)
41,"Exposed, Dax To",Exposed,Dax To,488035,43817,Demonstration Duration,(null)
41,"Exposed, Dax To",Exposed,Dax To,531852,9759,First Response Window,(null)
41,"Exposed, Dax To",Exposed,Dax To,534851,0,First Action,(null)
41,"Exposed, Dax To",Exposed,Dax To,534851,0,Hand Touch,(null)
41,"Exposed, Dax To",Exposed,Dax To,535613,0,Hand Touch,(null)
41,"Exposed, Dax To",Exposed,Dax To,538540,0,Hand Touch,(null)
41,"Exposed, Dax To",Exposed,Dax To,541611,90776,Exploration Duration,(null)
41,"Exposed, Dax To",Exposed,Dax To,549642,4137,Engagement,(null)
41,"Exposed, Dax To",Exposed,Dax To,550441,0,Hand Touch,(null)
41,"Exposed, Dax To",Exposed,Dax To,550543,1101,IBA,(null)
41,"Exposed, Dax To",Exposed,Dax To,554714,3270,Engagement,(null)
41,"Exposed, Dax To",Exposed,Dax To,555796,0,Hand Touch,(null)
41,"Exposed, Dax To",Exposed,Dax To,555815,1268,IBA,(null)
41,"Exposed, Dax To",Exposed,Dax To,559185,333,Engagement,(null)
41,"Exposed, Dax To",Exposed,Dax To,562488,4605,Engagement,(null)
41,"Exposed, Dax To",Exposed,Dax To,563923,734,IBA,(null)
41,"Exposed, Dax To",Exposed,Dax To,563936,0,Hand Touch,(null)
41,"Exposed, Dax To",Exposed,Dax To,579716,4294,Engagement,(null)
41,"Exposed, Dax To",Exposed,Dax To,589849,3837,Engagement,(null)
41,"Exposed, Dax To",Exposed,Dax To,601127,31264,Engagement,(null)
41,"Exposed, Dax To",Exposed,Dax To,602895,1168,IBA,(null)
41,"Exposed, Dax To",Exposed,Dax To,602921,0,Hand Touch,(null)
41,"Exposed, Dax To",Exposed,Dax To,605965,534,IBA,(null)
41,"Exposed, Dax To",Exposed,Dax To,605968,0,Hand Touch,(null)
41,"Exposed, Dax To",Exposed,Dax To,607953,0,Hand Touch,(null)
41,"Exposed, Dax To",Exposed,Dax To,607967,1835,IBA,(null)
41,"Exposed, Dax To",Exposed,Dax To,612638,6740,IBA,(null)
41,"Exposed, Dax To",Exposed,Dax To,612656,0,Hand Touch,(null)
41,"Exposed, Dax To",Exposed,Dax To,617654,0,Hand Touch,(null)
41,"Exposed, Dax To",Exposed,Dax To,624747,0,Hand Touch,(null)
41,"Exposed, Dax To",Exposed,Dax To,624750,2903,IBA,(null)
