Participant,Condition,Hands,Language,Time,Duration,TrackName,comment
22,"Occupied, Dax To Toy",Occupied,Dax To Toy,11278,476757,Warm Up Duration,(null)
22,"Occupied, Dax To Toy",Occupied,Dax To Toy,11278,668871,Total Trial Length,(null)
22,"Occupied, Dax To Toy",Occupied,Dax To Toy,497102,43622,Demonstration Duration,(null)
22,"Occupied, Dax To Toy",Occupied,Dax To Toy,540724,6823,Frist Response Window,(null)
22,"Occupied, Dax To Toy",Occupied,Dax To Toy,542089,0,First Action,(null)
22,"Occupied, Dax To Toy",Occupied,Dax To Toy,542089,0,Hand Touch,(null)
22,"Occupied, Dax To Toy",Occupied,Dax To Toy,544309,0,Head Touch,(null)
22,"Occupied, Dax To Toy",Occupied,Dax To Toy,547547,73889,Exploration Duration,(null)
22,"Occupied, Dax To Toy",Occupied,Dax To Toy,550045,0,Hand Touch,(null)
22,"Occupied, Dax To Toy",Occupied,Dax To Toy,552919,18786,Engagement,(null)
22,"Occupied, Dax To Toy",Occupied,Dax To Toy,552919,3437,IBA,(null)
22,"Occupied, Dax To Toy",Occupied,Dax To Toy,568435,1568,IBA,(null)
22,"Occupied, Dax To Toy",Occupied,Dax To Toy,568456,0,Hand Touch,(null)
22,"Occupied, Dax To Toy",Occupied,Dax To Toy,572339,5438,Engagement,(null)
22,"Occupied, Dax To Toy",Occupied,Dax To Toy,584718,23290,Engagement,(null)
