Participant,Condition,Hands,Language,Time,Duration,TrackName,comment
18,"Exposed, Dax ",Exposed,Dax,15310,537686,Warm Up Duration,(null)
18,"Exposed, Dax ",Exposed,Dax,15322,807907,Total Trial Length,(null)
18,"Exposed, Dax ",Exposed,Dax,560111,44464,Demonstration Duration,(null)
18,"Exposed, Dax ",Exposed,Dax,604575,23034,First Response Window,(null)
18,"Exposed, Dax ",Exposed,Dax,627609,130484,Exploration Duration,(null)
18,"Exposed, Dax ",Exposed,Dax,717810,0,First Action,(null)
18,"Exposed, Dax ",Exposed,Dax,717810,0,Hand Touch,(null)
18,"Exposed, Dax ",Exposed,Dax,720080,0,Head Touch,(null)
18,"Exposed, Dax ",Exposed,Dax,722184,0,Head Touch,(null)
18,"Exposed, Dax ",Exposed,Dax,724842,0,Hand Touch,(null)
18,"Exposed, Dax ",Exposed,Dax,732151,0,Head Touch,(null)
18,"Exposed, Dax ",Exposed,Dax,735196,0,Hand Touch,(null)
18,"Exposed, Dax ",Exposed,Dax,739682,0,Head Touch,(null)
18,"Exposed, Dax ",Exposed,Dax,742173,0,Hand Touch,(null)
