Participant,Condition,Hands,Language,Time,Duration,TrackName,comment
29,"Exposed, Dax",Exposed,Dax,453606,40362,Demonstration Duration,(null)
29,"Exposed, Dax",Exposed,Dax,493968,12130,First Response Window,(null)
29,"Exposed, Dax",Exposed,Dax,496478,0,First Action,(null)
29,"Exposed, Dax",Exposed,Dax,496478,0,Head Touch,(null)
29,"Exposed, Dax",Exposed,Dax,506098,68483,Exploration Duration,(null)
29,"Exposed, Dax",Exposed,Dax,507980,0,Hand Touch,(null)
29,"Exposed, Dax",Exposed,Dax,520633,0,Head Touch,(null)
29,"Exposed, Dax",Exposed,Dax,523079,0,Hand Touch,(null)
29,"Exposed, Dax",Exposed,Dax,524313,0,Hand Touch,(null)
29,"Exposed, Dax",Exposed,Dax,530566,0,Hand Touch,(null)
29,"Exposed, Dax",Exposed,Dax,534766,0,Hand Touch,(null)
29,"Exposed, Dax",Exposed,Dax,536066,0,Hand Touch,(null)
29,"Exposed, Dax",Exposed,Dax,536819,0,Hand Touch,(null)
29,"Exposed, Dax",Exposed,Dax,537760,0,Hand Touch,(null)
29,"Exposed, Dax",Exposed,Dax,543972,0,Head Touch,(null)
29,"Exposed, Dax",Exposed,Dax,550747,0,Hand Touch,(null)
29,"Exposed, Dax",Exposed,Dax,552358,0,Hand Touch,(null)
29,"Exposed, Dax",Exposed,Dax,558728,0,Hand Touch,(null)
29,"Exposed, Dax",Exposed,Dax,565554,0,Hand Touch,(null)
29,"Exposed, Dax",Exposed,Dax,8149,438805,Warm Up Duration,(null)
29,"Exposed, Dax",Exposed,Dax,8149,608078,Total Trial Length,(null)
