Participant,Condition,Language,Hands,Gender,Days.Old,MCDI,First Response,Head.Touches,Hand.Touches,Total.Responses,Total.Dur,Warmup.Dur,Demo.Dur,FirstResponse.Dur,Exploration.Dur,Engagement.Duration,IBA.Duration
1,"Exposed, Dax To",Dax To,Exposed,F,545,1,Hand,1,4,5,503.45,325.047,44.818,9.823,60.861,60.886,43.677
3,"Exposed, Dax To",Dax To,Exposed,M,526,20,Hand,4,6,10,622.729,412.868,50.674,15.726,94.392,65.476,42.16
4,"Exposed, Dax To",Dax To,Exposed,F,541,19,Head,4,4,8,716.611,491.146,45.865,9.03,102.555,69.768,24.859
5,"Exposed, Dax To",Dax To,Exposed,M,527,68,Hand,3,4,7,727.891,521.703,48.716,18.652,70.036,40.707,18.21
6,"Exposed, Dax To",Dax To,Exposed,M,527,8,Hand,0,3,3,971.283,773.002,49.777,11.586,70.868,59.859,5.406
7,"Exposed, Dax To",Dax To,Exposed,M,572,18,Hand,2,6,8,599.065,392.253,45.189,11.892,80.925,71.538,41.607
8,"Exposed, Dax To",Dax To,Exposed,M,556,5,Head,1,5,6,638.802,443.026,58.183,10.301,61.919,21.554,6.873
9,"Exposed, Dax To",Dax To,Exposed,F,570,7,Hand,1,9,10,628.448,407.856,45.78,6.506,70.737,64.398,15.582
10,"Exposed, Dax To",Dax To,Exposed,F,567,21,Hand,8,10,18,713.379,422.989,42.743,37.471,100.926,26.627,9.843
11,"Exposed, Dax",Dax,Exposed,M,547,37,NA,3,4,7,653.286,453.287,42.676,28.395,81.916,45.813,18.017
12,"Exposed, Dax",Dax,Exposed,M,532,2,Hand,1,11,12,595.796,403.971,44.211,9.443,67.233,50.817,6.908
13,"Occupied, Dax",Dax,Occupied,F,526,4,NA,0,12,12,725.418,502.299,40.341,29.462,65.499,58.759,26.661
14,"Occupied, Dax",Dax,Occupied,M,566,2,Head,2,8,10,467.734,288.789,46.88,9.91,72.039,34.601,7.641
15,"Occupied, Dax",Dax,Occupied,F,545,7,NA,0,3,3,666.799,457.457,41.175,26.226,42.342,5.806,0.668
16,"Occupied, Dax",Dax,Occupied,F,531,16,Hand,1,9,10,636.636,423.957,39.34,20.821,94.26,66.866,19.656
17,"Occupied, Dax",Dax,Occupied,F,525,17,Head,2,3,5,461.894,281.581,38.739,15.849,56.49,29.563,3.036
18,"Exposed, Dax",Dax,Exposed,F,561,16,NA,3,6,9,807.907,537.686,44.464,23.034,130.484,34.201,10.944
19,"Occupied, Dax",Dax,Occupied,M,578,25,Head,8,1,9,532.575,322.949,43.908,17.996,74.851,45.246,19.519
20,"Occupied, Dax",Dax,Occupied,F,568,16,Head,2,1,3,640.834,437.991,57.28,8.933,50.649,21.185,9.91
21,"Exposed, Dax",Dax,Exposed,F,536,0,Hand,1,4,5,668.553,431.781,44.309,25.391,78.749,52.253,9.809
22,"Occupied, Dax To",Dax To,Occupied,M,550,8,Hand,1,7,8,668.871,476.757,43.622,6.823,73.889,47.514,5.005
23,"Occupied, Dax To",Dax To,Occupied,M,542,11,Head,5,9,14,616.116,359.959,48.879,13.103,101.955,75.441,25.243
24,"Occupied, Dax To",Dax To,Occupied,M,552,6,Hand,1,3,4,904.783,663.97,43.445,23.336,83.727,83.75,13.313
25,"Occupied, Dax To",Dax To,Occupied,M,575,31,Head,2,12,14,650.783,464.643,40.568,19.452,54.631,36.603,11.112
26,"Occupied, Dax To",Dax To,Occupied,M,541,3,Head,1,5,6,681.36,473.649,41.286,14.655,63.596,55.17,13.313
27,"Exposed, Dax To",Dax,Exposed,M,522,5,Hand,3,5,8,1067.766,825.191,62.13,17.282,70.059,56.79,6.107
28,"Occupied, Dax",Dax,Occupied,M,555,5,Head,4,7,11,704.574,520.072,39.591,14.808,68.583,61.661,14.197
29,"Exposed, Dax",Dax,Exposed,M,555,7,Head,3,7,10,608.078,438.805,40.362,12.13,68.483,68.468,17.543
30,"Exposed, Dax",Dax,Exposed,M,551,25,Head,4,8,12,794.905,584.979,54.506,19.352,71.118,71.104,21.751
31,"Occupied, Dax To",Dax To,Occupied,F,562,0,Hand,2,2,4,895.365,732.536,44.16,29.812,72.038,34.201,6.807
32,"Occupied, Dax To",Dax To,Occupied,F,523,46,Hand,2,11,13,558.825,364.487,45.151,10.081,74.765,63.83,28.71
33,"Exposed, Dax",Dax,Exposed,F,535,4,Head,2,9,11,451.126,299.902,46.552,11.775,43.917,16.55,4.304
34,"Occupied, Dax",Dax,Occupied,M,559,24,Hand,1,7,8,474.507,262.72,37.509,8.057,81.978,72.706,9.575
35,"Occupied, Dax To",Dax To,Occupied,F,528,8,NA,4,12,16,875.437,569.964,43.991,34.28,97.698,61.329,4.305
36,"Occupied, Dax To",Dax To,Occupied,M,564,2,NA,0,3,3,505.519,303.868,39.578,29.037,78.545,64.131,0.935
