Participant,Condition,Hands,Language,Time,Duration,TrackName,comment
36,"Occupied, Dax To",Occupied,Dax To,314050,39578,Demonstration Duration,(null)
36,"Occupied, Dax To",Occupied,Dax To,353628,29037,First Response Window,(null)
36,"Occupied, Dax To",Occupied,Dax To,3653,303868,Warm Up Duration,(null)
36,"Occupied, Dax To",Occupied,Dax To,3653,505519,Total Trial Length,(null)
36,"Occupied, Dax To",Occupied,Dax To,382665,1502,Engagement,(null)
36,"Occupied, Dax To",Occupied,Dax To,382665,78545,Exploration Duration,(null)
36,"Occupied, Dax To",Occupied,Dax To,388705,4304,Engagement,(null)
36,"Occupied, Dax To",Occupied,Dax To,390406,935,IBA,(null)
36,"Occupied, Dax To",Occupied,Dax To,390419,0,Hand Touch,(null)
36,"Occupied, Dax To",Occupied,Dax To,396179,7374,Engagement,(null)
36,"Occupied, Dax To",Occupied,Dax To,408124,50951,Engagement,(null)
