Participant,Condition,Hands,Language,Time,Duration,TrackName,comment
37,"Exposed, Dax To",Exposed,Dax To,345171,44863,Demonstration Duration,(null)
37,"Exposed, Dax To",Exposed,Dax To,390034,7983,First Response Window,(null)
37,"Exposed, Dax To",Exposed,Dax To,392324,0,First Action,(null)
37,"Exposed, Dax To",Exposed,Dax To,392324,0,Hand Touch,(null)
37,"Exposed, Dax To",Exposed,Dax To,394519,0,Head Touch,(null)
37,"Exposed, Dax To",Exposed,Dax To,398017,76276,Exploration Duration,(null)
37,"Exposed, Dax To",Exposed,Dax To,410329,55188,Engagement,(null)
37,"Exposed, Dax To",Exposed,Dax To,410962,0,Hand Touch,(null)
37,"Exposed, Dax To",Exposed,Dax To,410996,3337,IBA,(null)
37,"Exposed, Dax To",Exposed,Dax To,412324,0,Head Touch,(null)
37,"Exposed, Dax To",Exposed,Dax To,413895,0,Hand Touch,(null)
37,"Exposed, Dax To",Exposed,Dax To,428981,4371,IBA,(null)
37,"Exposed, Dax To",Exposed,Dax To,428994,0,Hand Touch,(null)
37,"Exposed, Dax To",Exposed,Dax To,6993,331366,Warm Up Duration,(null)
37,"Exposed, Dax To",Exposed,Dax To,6993,552351,Total Trial Length,Started when toys were grabbed (instead of when placed in parent's lap)
