Participant,Condition,Hands,Language,Time,Duration,TrackName,comment
9,"Exposed, Dax To",Exposed,Dax To,1916,628448,Total Trial Length,(null)
9,"Exposed, Dax To",Exposed,Dax To,1934,407856,Warm Up Duration,(null)
9,"Exposed, Dax To",Exposed,Dax To,417431,45780,Demonstration Duration,(null)
9,"Exposed, Dax To",Exposed,Dax To,463211,6506,First Response Window,(null)
9,"Exposed, Dax To",Exposed,Dax To,464846,0,First Action,(null)
9,"Exposed, Dax To",Exposed,Dax To,464846,0,Hand Touch,(null)
9,"Exposed, Dax To",Exposed,Dax To,466714,0,Head Touch,(null)
9,"Exposed, Dax To",Exposed,Dax To,469717,70737,Exploration Duration,(null)
9,"Exposed, Dax To",Exposed,Dax To,475189,0,Hand Touch,(null)
9,"Exposed, Dax To",Exposed,Dax To,487335,0,Head Touch,lean? 
9,"Exposed, Dax To",Exposed,Dax To,488269,0,Hand Touch,(null)
9,"Exposed, Dax To",Exposed,Dax To,503985,0,Hand Touch,(null)
9,"Exposed, Dax To",Exposed,Dax To,522270,0,Hand Touch,(null)
9,"Exposed, Dax To",Exposed,Dax To,536284,0,Hand Touch,(null)
