Participant,Condition,Hands,Language,Time,Duration,TrackName,comment
19,"Occupied, Dax Toy",Occupied,Dax Toy,15459,322949,Warm Up Duration,(null)
19,"Occupied, Dax Toy",Occupied,Dax Toy,15459,532575,Total Trial Length,(null)
19,"Occupied, Dax Toy",Occupied,Dax Toy,345140,43908,Demonstration Duration,(null)
19,"Occupied, Dax Toy",Occupied,Dax Toy,389048,17996,Frist Response Window,(null)
19,"Occupied, Dax Toy",Occupied,Dax Toy,392044,0,First Action,(null)
19,"Occupied, Dax Toy",Occupied,Dax Toy,392044,0,Head Touch,(null)
19,"Occupied, Dax Toy",Occupied,Dax Toy,394652,0,Hand Touch,(null)
19,"Occupied, Dax Toy",Occupied,Dax Toy,407017,8142,Engagement,(null)
19,"Occupied, Dax Toy",Occupied,Dax Toy,407017,8142,IBA,(null)
19,"Occupied, Dax Toy",Occupied,Dax Toy,407044,74851,Exploration Duration,(null)
19,"Occupied, Dax Toy",Occupied,Dax Toy,420497,4438,Engagement,(null)
19,"Occupied, Dax Toy",Occupied,Dax Toy,421526,0,Hand Touch,(null)
19,"Occupied, Dax Toy",Occupied,Dax Toy,421565,3370,IBA,(null)
19,"Occupied, Dax Toy",Occupied,Dax Toy,422710,0,Head Touch,(null)
19,"Occupied, Dax Toy",Occupied,Dax Toy,429306,1268,Engagement,(null)
19,"Occupied, Dax Toy",Occupied,Dax Toy,434111,1034,Engagement,(null)
19,"Occupied, Dax Toy",Occupied,Dax Toy,445055,12246,Engagement,(null)
19,"Occupied, Dax Toy",Occupied,Dax Toy,447291,2435,IBA,(null)
19,"Occupied, Dax Toy",Occupied,Dax Toy,447419,0,Head Touch,(null)
19,"Occupied, Dax Toy",Occupied,Dax Toy,456700,367,IBA,(null)
19,"Occupied, Dax Toy",Occupied,Dax Toy,456815,0,Hand Touch,(null)
19,"Occupied, Dax Toy",Occupied,Dax Toy,458569,5205,Engagement,(null)
19,"Occupied, Dax Toy",Occupied,Dax Toy,464141,1368,Engagement,(null)
19,"Occupied, Dax Toy",Occupied,Dax Toy,465509,1001,Engagement,(null)
19,"Occupied, Dax Toy",Occupied,Dax Toy,469046,6740,Engagement,(null)
19,"Occupied, Dax Toy",Occupied,Dax Toy,470169,0,Hand Touch,(null)
19,"Occupied, Dax Toy",Occupied,Dax Toy,470180,1802,IBA,(null)
19,"Occupied, Dax Toy",Occupied,Dax Toy,478088,3804,Engagement,(null)
19,"Occupied, Dax Toy",Occupied,Dax Toy,478473,0,Hand Touch,(null)
19,"Occupied, Dax Toy",Occupied,Dax Toy,478489,3403,IBA,(null)
19,"Occupied, Dax Toy",Occupied,Dax Toy,480156,0,Hand Touch,(null)
