Participant,Condition,Hands,Language,Time,Duration,TrackName,comment
10,"Exposed, Dax To",Exposed,Dax To,489088,42743,Demonstration Duration,(null)
10,"Exposed, Dax To",Exposed,Dax To,531831,37471,First Response Window,(null)
10,"Exposed, Dax To",Exposed,Dax To,563162,0,First Action,(null)
10,"Exposed, Dax To",Exposed,Dax To,563162,0,Hand Touch,(null)
10,"Exposed, Dax To",Exposed,Dax To,569302,100926,Exploration Duration,(null)
10,"Exposed, Dax To",Exposed,Dax To,60560,422989,Warm Up Duration,(null)
10,"Exposed, Dax To",Exposed,Dax To,60560,713379,Total Trial Length,(null)
10,"Exposed, Dax To",Exposed,Dax To,608708,0,Hand Touch,(null)
10,"Exposed, Dax To",Exposed,Dax To,650683,0,Head Touch,(null)
10,"Exposed, Dax To",Exposed,Dax To,655087,0,Head Touch,(null)
